Arm,Reward,Regret,Algorithm
3,5.574121443446786,0,Epsilon-Greedy
3,2.829290856696492,0,Epsilon-Greedy
3,4.819736946977245,0,Epsilon-Greedy
3,1.9645174039580509,0,Epsilon-Greedy
3,3.898399679853401,0,Epsilon-Greedy
3,5.076984757288752,0,Epsilon-Greedy
3,3.7154945112831013,0,Epsilon-Greedy
3,3.591732340261692,0,Epsilon-Greedy
3,4.551261738000195,0,Epsilon-Greedy
3,4.660811479277896,0,Epsilon-Greedy
3,2.9391709708324925,0,Epsilon-Greedy
3,4.1435812258894265,0,Epsilon-Greedy
3,5.543431371284226,0,Epsilon-Greedy
3,2.04587435633169,0,Epsilon-Greedy
3,2.9617200088629274,0,Epsilon-Greedy
3,4.479836884307942,0,Epsilon-Greedy
3,2.0335565835841614,0,Epsilon-Greedy
3,1.9199450109107823,0,Epsilon-Greedy
3,2.3268351799118374,0,Epsilon-Greedy
3,5.68207796054812,0,Epsilon-Greedy
3,4.183855956004623,0,Epsilon-Greedy
3,4.3078895313257,0,Epsilon-Greedy
3,3.3946813409473306,0,Epsilon-Greedy
3,2.8066606963753182,0,Epsilon-Greedy
3,2.852048457396659,0,Epsilon-Greedy
3,3.408879013036267,0,Epsilon-Greedy
3,3.506791903520736,0,Epsilon-Greedy
3,4.4812069635680905,0,Epsilon-Greedy
3,2.8051232938764787,0,Epsilon-Greedy
3,4.1168550614665875,0,Epsilon-Greedy
3,4.579390503939199,0,Epsilon-Greedy
3,3.5499293273769776,0,Epsilon-Greedy
3,4.019721791243136,0,Epsilon-Greedy
3,3.521291372377776,0,Epsilon-Greedy
3,3.864512402522419,0,Epsilon-Greedy
3,4.537941183003184,0,Epsilon-Greedy
3,2.41542746840629,0,Epsilon-Greedy
3,3.1168758948774293,0,Epsilon-Greedy
3,2.4596256267140424,0,Epsilon-Greedy
3,2.883904180124679,0,Epsilon-Greedy
3,4.795960637118822,0,Epsilon-Greedy
3,4.121638013333314,0,Epsilon-Greedy
3,4.379764443587002,0,Epsilon-Greedy
3,2.3950872408595796,0,Epsilon-Greedy
3,4.59890619777943,0,Epsilon-Greedy
3,2.7909876432213814,0,Epsilon-Greedy
3,3.5387700907333213,0,Epsilon-Greedy
3,5.34515403738804,0,Epsilon-Greedy
3,4.464119317551201,0,Epsilon-Greedy
3,2.8848464869185904,0,Epsilon-Greedy
3,3.38202566779166,0,Epsilon-Greedy
3,4.93487140511244,0,Epsilon-Greedy
3,2.812013486820414,0,Epsilon-Greedy
3,4.8080964022661945,0,Epsilon-Greedy
3,2.983335170166093,0,Epsilon-Greedy
3,4.48347838989431,0,Epsilon-Greedy
3,3.9288097669463244,0,Epsilon-Greedy
3,3.3492001144388093,0,Epsilon-Greedy
3,4.77098443850756,0,Epsilon-Greedy
3,2.9546036014361543,0,Epsilon-Greedy
3,4.53830763781458,0,Epsilon-Greedy
3,2.9775427601787725,0,Epsilon-Greedy
3,2.5671493249810053,0,Epsilon-Greedy
3,3.4557464740582873,0,Epsilon-Greedy
3,3.09796749320898,0,Epsilon-Greedy
3,3.6151172096335222,0,Epsilon-Greedy
3,2.6914396489144377,0,Epsilon-Greedy
3,3.521624716484267,0,Epsilon-Greedy
3,1.9025273547173334,0,Epsilon-Greedy
3,3.387181747150513,0,Epsilon-Greedy
3,5.420581297572397,0,Epsilon-Greedy
3,3.648027639037956,0,Epsilon-Greedy
3,6.239137588851717,0,Epsilon-Greedy
3,4.388489087662146,0,Epsilon-Greedy
3,4.984095350962919,0,Epsilon-Greedy
3,3.6615611436992537,0,Epsilon-Greedy
3,5.652750885296944,0,Epsilon-Greedy
3,1.5320665461502618,0,Epsilon-Greedy
3,4.735095918654187,0,Epsilon-Greedy
3,3.3651119654920336,0,Epsilon-Greedy
3,2.9622758421844777,0,Epsilon-Greedy
3,3.588179263044604,0,Epsilon-Greedy
3,2.568453276069435,0,Epsilon-Greedy
3,3.114424992161697,0,Epsilon-Greedy
3,3.0707239101524983,0,Epsilon-Greedy
3,3.033687867268152,0,Epsilon-Greedy
3,4.654306482640588,0,Epsilon-Greedy
3,3.5164353601411813,0,Epsilon-Greedy
3,4.297466850687515,0,Epsilon-Greedy
3,3.9919298759614525,0,Epsilon-Greedy
3,2.84317407959633,0,Epsilon-Greedy
3,3.865358802507963,0,Epsilon-Greedy
3,2.790173324256391,0,Epsilon-Greedy
3,2.754464339499071,0,Epsilon-Greedy
3,1.2225408383045573,0,Epsilon-Greedy
3,3.2183750764447394,0,Epsilon-Greedy
3,2.2456096933487286,0,Epsilon-Greedy
3,3.6425328371927774,0,Epsilon-Greedy
3,3.8302867289365397,0,Epsilon-Greedy
3,4.076202901664649,0,Epsilon-Greedy
3,2.3666091555577804,0,Epsilon-Greedy
3,5.205206827779945,0,Epsilon-Greedy
3,4.564636742274681,0,Epsilon-Greedy
3,3.72746739757691,0,Epsilon-Greedy
3,3.490019379665887,0,Epsilon-Greedy
3,4.481692858524644,0,Epsilon-Greedy
3,5.078792574573612,0,Epsilon-Greedy
3,4.148933991694813,0,Epsilon-Greedy
3,2.8402257878097075,0,Epsilon-Greedy
3,4.602969293892123,0,Epsilon-Greedy
3,3.7542687573498874,0,Epsilon-Greedy
3,3.7563123720581344,0,Epsilon-Greedy
3,4.052802678205677,0,Epsilon-Greedy
3,3.4004541793123977,0,Epsilon-Greedy
3,4.667829388386156,0,Epsilon-Greedy
3,4.165390847208109,0,Epsilon-Greedy
3,2.182485399526317,0,Epsilon-Greedy
3,4.399019197158986,0,Epsilon-Greedy
3,3.4937750102731653,0,Epsilon-Greedy
3,4.556104061127008,0,Epsilon-Greedy
3,4.3760206975066,0,Epsilon-Greedy
3,2.0230375454099816,0,Epsilon-Greedy
3,4.050890605602155,0,Epsilon-Greedy
3,2.8687781138490145,0,Epsilon-Greedy
3,2.9338182508513384,0,Epsilon-Greedy
3,5.291444087320145,0,Epsilon-Greedy
3,4.102690710812724,0,Epsilon-Greedy
3,3.0035065978364104,0,Epsilon-Greedy
3,3.79727765807755,0,Epsilon-Greedy
3,2.9385925768458168,0,Epsilon-Greedy
3,4.37122826704055,0,Epsilon-Greedy
3,5.261004258317298,0,Epsilon-Greedy
3,4.268408345256388,0,Epsilon-Greedy
3,1.8220464816842155,0,Epsilon-Greedy
3,2.4713186197817163,0,Epsilon-Greedy
3,3.802475329631629,0,Epsilon-Greedy
3,3.82432596123516,0,Epsilon-Greedy
3,4.383722357046588,0,Epsilon-Greedy
3,4.85315363867311,0,Epsilon-Greedy
3,3.502250202813248,0,Epsilon-Greedy
3,2.474477601404014,0,Epsilon-Greedy
3,2.2149226672238775,0,Epsilon-Greedy
3,1.679289931537348,0,Epsilon-Greedy
3,5.4053391293075235,0,Epsilon-Greedy
3,2.951124198437342,0,Epsilon-Greedy
3,2.777277088076317,0,Epsilon-Greedy
3,6.517721446407334,0,Epsilon-Greedy
3,3.992797741800356,0,Epsilon-Greedy
3,4.809177723780641,0,Epsilon-Greedy
3,4.982254661710674,0,Epsilon-Greedy
3,5.0212769678374105,0,Epsilon-Greedy
3,4.918190725370855,0,Epsilon-Greedy
3,4.575015053688652,0,Epsilon-Greedy
3,5.273277222824543,0,Epsilon-Greedy
3,3.7146111923859273,0,Epsilon-Greedy
3,3.424061999547191,0,Epsilon-Greedy
3,2.4596973963975066,0,Epsilon-Greedy
3,4.382433260209438,0,Epsilon-Greedy
3,4.773934297422497,0,Epsilon-Greedy
3,3.6719352176693767,0,Epsilon-Greedy
3,2.3208657363306973,0,Epsilon-Greedy
3,3.9892729007006222,0,Epsilon-Greedy
3,5.3506107622140915,0,Epsilon-Greedy
3,4.763681285329377,0,Epsilon-Greedy
3,2.396306329182434,0,Epsilon-Greedy
3,3.321192538753249,0,Epsilon-Greedy
3,3.400244104226015,0,Epsilon-Greedy
3,4.217147611031532,0,Epsilon-Greedy
3,5.135044367287898,0,Epsilon-Greedy
3,3.5793283684068866,0,Epsilon-Greedy
3,3.841540615795041,0,Epsilon-Greedy
3,3.915601023693499,0,Epsilon-Greedy
3,3.6039040125261694,0,Epsilon-Greedy
3,2.4214337066699185,0,Epsilon-Greedy
3,3.2721261712828356,0,Epsilon-Greedy
3,5.55879038795438,0,Epsilon-Greedy
3,3.8324376822899104,0,Epsilon-Greedy
3,3.4348870658001194,0,Epsilon-Greedy
3,3.4407259412817424,0,Epsilon-Greedy
3,4.988757807173974,0,Epsilon-Greedy
3,3.148236926869007,0,Epsilon-Greedy
3,4.222951070336947,0,Epsilon-Greedy
3,4.046354281941909,0,Epsilon-Greedy
3,5.848898605991287,0,Epsilon-Greedy
3,3.8078745161872702,0,Epsilon-Greedy
3,5.352454379990602,0,Epsilon-Greedy
3,1.7743588675719408,0,Epsilon-Greedy
3,3.5096418354442496,0,Epsilon-Greedy
3,3.8197905951773734,0,Epsilon-Greedy
3,3.2451759771610282,0,Epsilon-Greedy
3,2.5116713444723953,0,Epsilon-Greedy
3,4.193373849262229,0,Epsilon-Greedy
3,2.744825315084427,0,Epsilon-Greedy
3,4.406216451578519,0,Epsilon-Greedy
3,5.112543448181098,0,Epsilon-Greedy
3,3.3434339247755367,0,Epsilon-Greedy
3,3.446382848595218,0,Epsilon-Greedy
3,5.2731588692138285,0,Epsilon-Greedy
3,3.7804283025999865,0,Epsilon-Greedy
3,4.588516718182247,0,Epsilon-Greedy
3,4.162848062372894,0,Epsilon-Greedy
3,4.3103898783981975,0,Epsilon-Greedy
3,2.3160130167283466,0,Epsilon-Greedy
3,4.308968625547353,0,Epsilon-Greedy
3,3.9404659529283763,0,Epsilon-Greedy
3,2.327004072826214,0,Epsilon-Greedy
3,3.994843107907893,0,Epsilon-Greedy
3,4.075594348100212,0,Epsilon-Greedy
3,4.683932782351349,0,Epsilon-Greedy
3,4.4220323986665955,0,Epsilon-Greedy
3,2.564648689590512,0,Epsilon-Greedy
3,4.585117553796568,0,Epsilon-Greedy
3,4.951959237720124,0,Epsilon-Greedy
3,3.2507399253124207,0,Epsilon-Greedy
3,4.5241061568101,0,Epsilon-Greedy
3,4.028168346473653,0,Epsilon-Greedy
3,4.354111359990003,0,Epsilon-Greedy
3,4.66733096247472,0,Epsilon-Greedy
3,5.712125550714722,0,Epsilon-Greedy
3,4.096414054926122,0,Epsilon-Greedy
3,4.100594642194988,0,Epsilon-Greedy
3,3.805868934767484,0,Epsilon-Greedy
3,4.849328501034462,0,Epsilon-Greedy
3,3.4107518550647278,0,Epsilon-Greedy
3,2.5797306374918145,0,Epsilon-Greedy
3,4.533349792340427,0,Epsilon-Greedy
3,2.620285558035217,0,Epsilon-Greedy
3,3.9003942409936436,0,Epsilon-Greedy
3,3.710908977849142,0,Epsilon-Greedy
3,3.3121635219037606,0,Epsilon-Greedy
3,5.449800897360498,0,Epsilon-Greedy
3,2.9561244117268126,0,Epsilon-Greedy
3,2.321291913199314,0,Epsilon-Greedy
3,3.2405437459611264,0,Epsilon-Greedy
3,4.426314998060542,0,Epsilon-Greedy
3,5.024276440120885,0,Epsilon-Greedy
3,2.8835833611202997,0,Epsilon-Greedy
3,3.991231604731821,0,Epsilon-Greedy
3,5.437924970112899,0,Epsilon-Greedy
3,2.962286937434057,0,Epsilon-Greedy
3,3.7334691099691133,0,Epsilon-Greedy
3,4.229371139183916,0,Epsilon-Greedy
3,2.5332266025124768,0,Epsilon-Greedy
3,3.8929776107104352,0,Epsilon-Greedy
3,5.64726540298145,0,Epsilon-Greedy
3,4.287399428244379,0,Epsilon-Greedy
3,2.410002832348086,0,Epsilon-Greedy
3,3.831265124716825,0,Epsilon-Greedy
3,4.261630227180566,0,Epsilon-Greedy
3,4.376200054294012,0,Epsilon-Greedy
3,2.1987753319691024,0,Epsilon-Greedy
3,2.828818162590105,0,Epsilon-Greedy
3,3.522234334723586,0,Epsilon-Greedy
3,1.0450530076955884,0,Epsilon-Greedy
3,5.581623428643905,0,Epsilon-Greedy
3,5.936303599764534,0,Epsilon-Greedy
3,5.708152321516278,0,Epsilon-Greedy
3,4.182819886251323,0,Epsilon-Greedy
3,4.104425850646293,0,Epsilon-Greedy
3,3.898571561250835,0,Epsilon-Greedy
3,4.229024087965583,0,Epsilon-Greedy
3,3.282570665393551,0,Epsilon-Greedy
3,4.860113476086544,0,Epsilon-Greedy
3,4.019606115844582,0,Epsilon-Greedy
3,5.202071311462856,0,Epsilon-Greedy
3,3.7121568445852473,0,Epsilon-Greedy
3,4.387140151778615,0,Epsilon-Greedy
3,4.700704072124478,0,Epsilon-Greedy
3,3.950213656664461,0,Epsilon-Greedy
3,3.278324427528303,0,Epsilon-Greedy
3,5.0419303876429415,0,Epsilon-Greedy
3,4.436356970453095,0,Epsilon-Greedy
3,4.216488363377725,0,Epsilon-Greedy
3,5.792816456430711,0,Epsilon-Greedy
3,4.534689912840229,0,Epsilon-Greedy
3,5.655012153522379,0,Epsilon-Greedy
3,1.7619562378462037,0,Epsilon-Greedy
3,4.518206291835613,0,Epsilon-Greedy
3,3.946456218193856,0,Epsilon-Greedy
